CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32
70,2.8,4.3,1.7,0.5,1.7,1,2.9,1.4,1.1,1.7,0.8,0.7,2.6,3.1,0.3,0.8,2.1,4.6,1.6,1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
71,2.8,4.3,1.8,0.6,1.6,1,2.8,1.4,1,1.5,0.8,0.7,2.7,3.2,0.3,0.7,2,4.5,1.4,1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
72,2.8,4.2,1.8,0.6,1.6,1.1,2.8,1.3,1.1,1.5,0.8,0.6,2.6,3.2,0.3,0.8,2,4.5,1.4,1.1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
73,2.8,4.3,1.7,0.6,1.6,1.1,2.8,1.3,1.1,1.6,0.8,0.6,2.6,3.1,0.3,0.8,2,4.7,1.6,0.9,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
74,2.9,4.2,1.8,0.6,1.7,1.1,2.9,1.4,1,1.6,0.8,0.6,2.6,3.1,0.4,0.8,2,4.7,1.4,0.9,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
75,2.9,4.3,1.8,0.6,1.6,1,2.9,1.4,1,1.6,0.8,0.7,2.6,3.1,0.3,0.8,2,4.6,1.4,1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
76,2.8,4.3,1.8,0.6,1.6,1,2.9,1.4,1.1,1.8,0.7,0.6,2.7,3.1,0.3,0.8,2,4.6,1.6,1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
77,2.9,4.3,1.8,0.6,1.6,0.9,2.8,1.4,1.1,1.8,0.7,0.6,2.6,3.1,0.3,0.8,2.1,4.7,1.4,0.9,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
78,2.9,4.3,1.8,0.6,1.7,1,2.8,1.4,1,1.7,0.7,0.7,2.6,3.2,0.4,0.8,2,4.8,1.5,1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
79,2.9,4.4,1.8,0.6,1.6,1,2.9,1.4,1,1.7,0.8,0.7,2.7,3.2,0.3,0.8,2,4.7,1.5,1.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
80,2.9,4.4,1.9,0.6,1.8,1.1,2.9,1.4,1,1.6,0.7,0.6,2.7,3.3,0.3,0.8,2.1,4.7,1.4,1.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
81,2.9,4.5,1.9,0.6,1.6,1,2.9,1.5,1,1.5,0.8,0.6,2.6,3.1,0.3,0.8,2,4.6,1.5,1.1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
82,2.9,4.4,1.9,0.6,1.6,1.1,2.8,1.4,1.1,1.6,0.8,0.6,2.6,3.2,0.3,0.8,2,4.6,1.4,1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
83,3.1,4.6,1.8,0.6,1.7,1.1,3.2,1.5,1.2,1.6,0.8,0.7,2.8,3.7,0.3,0.8,2.1,5.6,1.6,1.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
84,1.5,2.2,1,0.4,1.4,0.7,1.8,1,0.9,1.3,0.6,0.5,1.8,2.2,0.3,0.6,1,3.3,1,1.1,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,202,101,101,101
85,1.5,2.3,1,0.3,1.1,0.7,1.8,1.1,1,1.3,0.7,0.5,1.8,2.2,0.2,0.6,1.1,3.4,1,1,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,202,101,101,101
86,1.6,2.2,1,0.3,1.3,0.8,1.8,1.1,0.9,1.2,0.6,0.5,1.7,2.2,0.2,0.6,1,3.3,1.1,1.1,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,202,101,101,101
87,1.5,2.2,1,0.3,1.2,0.8,1.9,1.1,0.8,1.1,0.7,0.5,1.7,2.3,0.2,0.7,1,3.6,1,1.5,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,202,101,101,101
88,1.5,2.3,1,0.3,1.1,0.7,1.9,1.1,0.9,1.2,0.7,0.5,1.7,2.2,0.2,0.6,1.1,3.5,1.1,1.2,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,202,101,101,101
89,1.5,2.2,1.1,0.3,1.2,0.7,1.8,1,0.8,1.3,0.7,0.5,1.7,2.2,0.3,0.7,0.9,3.5,1.1,1,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,202,101,101,101
90,1.5,2.2,1.1,0.4,1.2,0.8,1.8,0.9,0.8,1.2,0.6,0.5,1.7,2.2,0.2,0.6,0.9,3.4,1,1.3,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,202,101,101,101
91,1.5,2.2,1,0.3,1.1,0.8,1.8,1,0.8,1.1,0.6,0.4,1.8,2.2,0.3,0.5,0.9,3.4,1.1,1,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,202,101,101,101
