CH Name,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R
CH No.,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26
83,1.9,1.3,2.9,2.2,3.3,2.3,2.4,2,4.1,0.9,3.6,3.4,5.2,3.2,1.3,1.4,3.3,4.1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,208,104,52
84,2.1,1.2,3.3,2.7,3.4,2.4,2.7,2,4.2,1.1,3.4,3.5,5.6,3.4,1.2,1.2,3.7,3.6,52,105,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
85,2.2,1.1,3.5,3,3.7,2.5,2.6,2,4.4,1.1,3.5,3.6,6,2.9,1.3,1.4,3.3,3.3,105,105,105,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
86,2.2,1.2,3.3,2.7,3.8,2.5,2.5,2.1,4.6,1.1,3.6,3.6,5.9,3.1,1.3,1.3,3.2,3.1,105,105,105,105,52,52,52,52,52,52,52,52,52,52,52,210,105,52
87,2.1,1.3,3.3,2.4,3.6,2.6,2.4,2.1,4.5,1,3.7,3.5,5.7,2.9,1.3,1.3,3.2,3.1,105,52,105,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
88,2.1,1.3,3.2,2.1,3.8,2.4,2.4,2,4.4,1,3.5,3.6,5.8,2.7,1.3,1.3,3.2,2.8,52,52,105,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
89,2,1.4,3.2,2,3.6,2.3,2.4,2,4.5,1,3.4,3.6,6,2.8,1.3,1.4,3,2.8,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
90,1.9,1.4,3,1.8,3.5,2.5,2.3,2,4.3,1,3.4,3.6,6,2.8,1.2,1.6,3,2.6,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,105
91,1.9,1.5,3,1.8,3.4,2.5,2.3,2,4.4,0.9,3.4,3.7,5.6,3,1.2,1.6,2.9,2.7,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,105
92,1.9,1.5,3.1,1.7,3.5,2.4,2.5,2.1,4.4,1,3.5,3.8,5.8,2.8,1.3,1.5,3.1,2.7,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,105
93,1.9,1.5,2.9,1.7,3.3,2.2,2.3,2,4.3,1,3.4,3.8,5.7,2.8,1.3,1.5,3.1,2.6,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,105
94,1.9,1.6,2.9,1.8,3.3,2.5,2.4,2,4.2,1,3.2,3.5,5.6,2.7,1.3,1.6,2.9,2.8,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,105
95,1.9,1.6,2.9,1.8,3.3,2.4,2.3,2,4.2,0.9,3.2,3.3,5.6,2.9,1.3,1.5,2.9,2.7,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,105
96,1.9,1.6,2.9,1.8,3.4,2.4,2.3,1.9,4.3,1,3.3,3.3,5.9,2.7,1.3,1.6,3.1,2.7,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,105
97,1.8,1.6,2.8,2,3.3,2.5,2.4,2,4.2,1,3.2,3.6,5.9,2.8,1.3,1.5,3.1,2.6,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,105
98,1.9,1.7,2.8,1.9,3.3,2.3,2.4,1.9,4.1,1,3.2,3.7,5.8,2.8,1.3,1.5,3.1,2.5,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,105
99,1.9,1.6,2.9,2,3.4,2.5,2.5,1.9,4.2,0.9,3.3,3.8,5.9,2.8,1.2,1.5,3.2,2.7,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,105
100,1.8,1.7,2.9,1.9,3.4,2.4,2.4,1.9,4.1,0.9,3,3.6,5.9,2.9,1.2,1.5,3,2.5,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,105
101,1.9,1.6,2.9,2,3.5,2.4,2.3,2,4,1,3.1,3.7,5.7,2.8,1.2,1.6,3.1,2.7,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,105
102,1.8,1.7,2.9,1.9,3.3,2.3,2.5,1.9,3.9,1,3,3.8,5.7,2.8,1.2,1.5,3.1,2.7,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,105
